Rank,username,Name,Category,Subscribers,Audience Country,Avg. Views,Avg. Likes
1,tseries,T-Series,Music & Dance,220100000,India,52700,1700
2,checkgate,Cocomelon - Nursery Rhymes,Education,138600000,Other,14500000,79500
3,PewDiePie,PewDiePie,Animation,111400000,United States,3600000,244000
4,MrBeast6000,MrBeast,Video gamesHumor,98400000,United States,36700000,2100000
5,✿ Kids Diana Show,✿ Kids Diana Show,AnimationToys,97500000,Other,18100000,71800
6,Like Nastya,Like Nastya,Toys,97500000,Other,9300000,52600
7,WWEFanNation,WWE,Video games,89400000,United States,202300,6600
8,zeemusiccompany,Zee Music Company,Music & Dance,85700000,India,120700,4900
9,Vlad and Niki,Vlad and Niki,AnimationToys,83600000,Other,3800000,17700
10,5-Minute Crafts,5-Minute Crafts,Other,77100000,India,190000,1800
11,GoldminesTelefilms,Goldmines,Other,72100000,India,31100,403
12,kidrauhl,Justin Bieber,Music & Dance,69500000,United States,632600,41300
13,sabtv,Sony SAB,MoviesAnimation,69400000,India,32200,589
14,BANGTANTV,BANGTANTV,Music & Dance,69300000,India,4800000,766300
15,ibighit,HYBE LABELS,Music & Dance,67500000,United States,492400,105900
16,CanalKondZilla,Canal KondZilla,Music & Dance,65900000,Brazil,40900,2300
17,zeetv,Zee TV,Other,62700000,India,142400,2000
18,filmigaane,Shemaroo Filmi Gaane,Music & Dance,60800000,India,31500,446
19,SmartBooksMedia,Pinkfong Baby Shark - Kids' Songs & Stories,AnimationToys,58800000,Other,340700,798
20,corycotton,Dude Perfect,Video games,57900000,United States,8500000,316200
21,movieclips,Movieclips,MoviesAnimation,57400000,United States,18900,197
22,ChuChu TV Nursery Rhymes & Kids Songs,ChuChu TV Nursery Rhymes & Kids Songs,Toys,57200000,Other,447200,5400
23,Marshmello,Marshmello,Music & Dance,55600000,United States,158800,13600
24,colorstv,Colors TV,Other,54300000,India,25700,498
25,BHOJPURIWAVE,Wave Music,Music & Dance,53000000,Other,87500,1700
26,EminemMusic,EminemMusic,MoviesAnimation,52700000,United States,15700000,928100
27,aajtaktv,Aaj Tak,News & Politics,52300000,India,9700,138
28,tipsmusic,Tips Official,Music & Dance,52100000,India,234500,2300
29,sonymusicindiaSME,Sony Music India,Music & Dance,51700000,India,118500,3400
30,tseriesbhakti,T-Series Bhakti Sagar,Music & Dance,51500000,India,20000,555
31,ReinoMariaElenaWalsh,El Reino Infantil,Music & Dance,51100000,Other,293600,1300
32,LooLooKids,LooLoo Kids - Nursery Rhymes and Children's Songs,Music & Dance,49500000,United States,265600,1500
33,yrf,YRF,Music & DanceMovies,47100000,India,250700,12800
34,taylorswift,Taylor Swift,Music & Dance,46900000,United States,1800000,162700
35,JuegaGerman,JuegaGerman,MoviesAnimation,46000000,Mexico,1700000,150800
36,Badabun,Badabun,Other,45700000,Mexico,4900,115
37,infobellshindirhymes,Infobells - Hindi,Education,44900000,Other,1100000,5700
38,felipeneto,Felipe Neto,Other,44300000,Brazil,1200000,128200
39,whinderssonnunes,whinderssonnunes,Music & DanceAnimation,43800000,Brazil,3400000,798800
40,BRIGHT SIDE,BRIGHT SIDE,Animation,43800000,United States,56700,1400
41,vcsabiavideos,Você Sabia?,Other,43200000,Brazil,780900,92700
42,sonymusicindiaVEVO,SonyMusicIndiaVEVO,Music & Dance,42400000,India,32100,481
43,DjWalkzz,Alan Walker,Music & DanceMovies,42100000,United States,461800,28200
44,Bad Bunny,Bad Bunny,Music & DanceMovies,41800000,Mexico,100500000,1800000
45,Like Nastya Show,Like Nastya Show,AnimationToys,41400000,Other,91300,772
46,A4,A4,AnimationHumor,40700000,Russia,9400000,443900
47,speedrecordss,Speed Records,Music & Dance,40600000,India,33100,1400
48,getmovies,Get Movies,Other,40600000,Other,81400,446
49,ABSCBNOnline,ABS-CBN Entertainment,Other,40200000,Philippines,1800,27
50,LittleBabyBum,Little Baby Bum - Nursery Rhymes & Kids Songs,AnimationToys,39300000,Other,123400,380
51,LuisitoComunicaa,Luisito Comunica,Other,39000000,Mexico,4300000,139100
52,ShemarooEnt,Shemaroo,Other,38500000,India,204700,1400
53,MashaMedvedTV,Маша и Медведь,Education,38400000,Other,1100000,6900
54,TheEllenShow,TheEllenShow,Other,38400000,United States,19900,537
55,Voot Kids,Voot Kids,MoviesAnimation,38200000,Other,929500,7700
56,venus,Ishtar Music,Music & Dance,37600000,India,21800,329
57,luccasneto,LUCCAS NETO - LUCCAS TOON,MoviesAnimation,37600000,Brazil,416300,11800
58,gr6explode,GR6 EXPLODE,Music & Dance,37600000,Brazil,76700,4700
59,XXXTENTACION,XXXTENTACION,Music & Dance,37500000,United States,463400,48900
60,Kimberly Loaiza,Kimberly Loaiza,Daily vlogs,37000000,Mexico,7900000,489100
61,shakira,Shakira,Other,36800000,United States,382100,28800
62,WorkpointOfficial,WorkpointOfficial,Other,36800000,Thailand,8000,114
63,Toys and Colors,Toys and Colors,MoviesToys,36400000,Other,2000000,4500
64,shfa,shfa,Daily vlogs,35700000,France,3100000,53800
65,shfa2 - شفا,shfa2 - شفا,Daily vlogs,35600000,Other,517200,4900
66,TEDxTalks,TEDx Talks,Other,35600000,United States,171,5
67,Jkk Entertainment,Jkk Entertainment,Other,35400000,India,7300000,54000
68,SuperSimpleSongs,Super Simple Songs - Kids Songs,Music & Dance,34700000,Other,3300000,6900
69,Masha and The Bear,Masha and The Bear,AnimationToys,34500000,Other,1400000,7300
70,gmmonetv,one31,Other,34200000,Thailand,6100,109
71,Goldmines Gaane Sune Ansune,Goldmines Gaane Sune Ansune,Music & Dance,33900000,India,32800,309
72,JbalvinTube,J Balvin,Music & Dance,33500000,Colombia,2600000,68800
73,Like Nastya ESP,Like Nastya ESP,Other,33400000,Other,263600,924
74,YouTube,YouTube,Other,33300000,United States,103900,7300
